Unnamed: 0,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
A. Pintu Udara,821851,562150,255067,783,506,1463,4069,5728,9991,12280,16085,23599,1713572
Ngurah Rai,533392,358929,166388,273,34,10,16,12,8,7,2,127,1059198
Soekarno-Hatta,186793,132490,53124,420,396,909,3119,4469,7468,9830,14309,21812,435139
Juanda,17119,11706,5765,25,12,97,76,24,20,37,69,85,35035
Kualanamu,19419,14309,7334,10,1,95,68,28,36,29,44,54,41427
Husein Sastranegara,12882,12494,5780,0,0,0,0,0,23,15,1,0,31195
Adi Sucipto,8386,7101,3159,0,0,7,0,0,0,0,0,0,18653
Bandara Int. Lombok,6331,4224,1954,10,0,19,7,2,0,0,1,2,12550
Sam Ratulangi,12517,928,566,0,0,267,693,912,2174,2178,1577,1469,23281
Minangkabau,4616,4111,2530,0,0,0,0,0,1,0,0,0,11258
Sultan Syarif Kasim II,3212,2378,1241,0,0,1,0,2,3,0,3,0,6840
Sultan Iskandar Muda,3976,3978,2390,1,0,0,0,1,5,0,0,0,10351
Ahmad Yani,2239,1769,932,3,0,0,0,0,10,0,0,0,4953
Supadio,1879,1780,818,0,0,0,0,0,0,1,0,0,4478
Hasanuddin,1338,1227,1032,0,0,0,0,0,0,0,1,0,3598
Sultan Badaruddin II,1263,851,449,0,2,17,0,15,0,2,2,0,2601
Pintu Udara Lainnya,6489,3875,1605,41,61,41,90,263,243,181,76,50,13015
B. Pintu Laut,313541,192604,111323,45058,46615,47060,46942,49542,45109,41370,40970,44467,1024601
Batam,154464,94684,43853,230,214,94,54,50,341,427,454,471,295336
Tanjung Uban,41252,18230,5047,63,61,0,0,71,0,0,101,71,64896
Tanjung Pinang,14021,4849,2623,106,58,0,0,0,0,0,0,0,21657
Tanjung Balai Karimun,10828,7444,3552,6,0,0,0,0,5,0,1,0,21836
Tanjung Benoa,3214,5710,1071,106,2,35,0,0,0,56,51,23,10268
Tanjung Mas,-,-,-,-,-,-,-,-,-,-,-,-,-
Pintu Laut Lainnya,89762,61687,55177,44547,46280,46931,46888,49421,44763,40887,40363,43902,610608
C. Pintu Darat,155019,118011,119765,112225,114721,108038,104731,106279,93884,98643,87421,96013,1314750
Jayapura,5671,0,0,0,0,0,0,2,0,0,2,1,5676
Atambua,12640,7124,3955,2,2,0,36,33,0,28,26,13,23859
Entikong,2177,1746,833,5,2,4,26,42,63,23,10,5,4936
Aruk,2834,2330,937,19,23,64,4,4,2,3,10,4,6234
Nanga Badau,1213,989,610,0,0,0,0,0,0,0,2,0,2814
Pintu Darat Lainnya,130484,105822,113430,112199,114694,107970,104665,106198,93819,98589,87371,95990,1271231
Jumlah (A+B+C),1290411,872765,486155,158066,161842,156561,155742,161549,148984,152293,144476,164079,4052923
Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-
Total,1290411,872765,486155,158066,161842,156561,155742,161549,148984,152293,144476,164079,4052923
A. Pintu Udara,1731,7110,12852,18326,14040,16234,7175,1609,4748,15722,19909,17786,137242
Ngurah Rai,2,12,3,9,8,1,0,0,0,2,6,0,43
Soekarno-Hatta,1238,5958,10188,15471,12775,13448,5466,1071,4081,13700,18971,16696,119063
Juanda,20,69,52,106,160,181,52,10,2,37,0,0,689
Kualanamu,11,17,45,22,50,38,28,4,3,0,0,0,218
Husein Sastranegara,0,0,0,0,1,0,0,0,0,0,6,0,7
Adi Sucipto,0,0,0,0,0,0,0,0,0,0,0,0,0
Bandara Int. Lombok,1,0,2,0,0,0,0,26,0,0,0,0,29
